model,threshold,accuracy,precision,recall,f1,f2,mcc,auc_roc,auc_pr,TP,FP,TN,FN,run_id,cut_year,apply_smote,smote_strategy,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,ada_n_estimators,ada_learning_rate,rus_n_estimators,rus_learning_rate,logit_C,logit_penalty,svm_C,svm_kernel,svm_gamma,mlp_hidden_layer_sizes,mlp_alpha,mlp_learning_rate_init,mlp_activation
XGBoost,0.3,0.9329268292682927,0.9464763603925067,0.9842300556586271,0.9649840836743975,0.9764402724093503,0.20066679688362613,0.597667638483965,0.9494045600920633,1061,60,10,17,run048,2010,True,0.2,100,7,2,200,13,0.2,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.3,0.9294425087108014,0.9454870420017873,0.9814471243042672,0.9631315430131998,0.9740379303995581,0.16776844778311217,0.5874436787702094,0.9512904801388324,1058,61,9,20,run049,2010,True,0.2,100,7,2,200,13,0.2,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.3,0.921602787456446,0.9458483754512635,0.9721706864564007,0.958828911253431,0.966789667896679,0.1500933492955059,0.5757884972170686,0.9487514534409539,1048,60,10,30,run050,2010,True,0.2,100,7,2,200,7,0.3,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.3,0.9250871080139372,0.9460431654676259,0.9758812615955473,0.960730593607306,0.9697640117994101,0.16302190553436477,0.5946991783726477,0.9535139368041683,1052,60,10,26,run051,2010,True,0.2,100,7,2,200,7,0.3,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.3,0.9050522648083623,0.9465437788018434,0.9526901669758813,0.9496070272769301,0.9514545117657958,0.13040991420519538,0.6058176517360191,0.9546798603761923,1027,58,12,51,run052,2010,True,0.2,100,7,2,200,10,0.3,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.3,0.9163763066202091,0.9439421338155516,0.9684601113172542,0.9560439560439561,0.9634551495016611,0.10546352554171391,0.5829181023058574,0.9523066131527544,1044,62,8,34,run053,2010,True,0.2,100,7,2,200,10,0.3,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.3,0.926829268292683,0.9453405017921147,0.9786641929499073,0.9617137648131268,0.9718128224023581,0.1558799964412008,0.6236549165120593,0.9572827357390685,1055,61,9,23,run054,2010,True,0.2,100,7,2,200,13,0.3,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.3,0.9250871080139372,0.943649373881932,0.9786641929499073,0.9608378870673953,0.9714548802946593,0.11799238038610195,0.5893188444208852,0.9514286296132388,1055,63,7,23,run055,2010,True,0.2,100,7,2,200,13,0.3,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.3,0.9285714285714286,0.9470377019748654,0.9786641929499073,0.9625912408759124,0.9721710283818651,0.19168964909218397,0.6126822157434402,0.9518274946863747,1055,59,11,23,run056,2010,True,0.2,100,7,2,300,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.3,0.9294425087108014,0.9454870420017873,0.9814471243042672,0.9631315430131998,0.9740379303995581,0.16776844778311217,0.616326530612245,0.9538627990718809,1058,61,9,20,run057,2010,True,0.2,100,7,2,300,7,0.1,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.3,0.9372822299651568,0.948306595365419,0.987012987012987,0.9672727272727273,0.9790209790209791,0.2548263909712258,0.6175854757487411,0.9515046854471125,1064,58,12,14,run058,2010,True,0.2,100,7,2,300,10,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.3,0.9224738675958188,0.9458972046889089,0.9730983302411874,0.959304983996342,0.967533665375392,0.15316219299512449,0.6137423800689107,0.9540799747808634,1049,60,10,29,run059,2010,True,0.2,100,7,2,300,10,0.1,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.3,0.9407665505226481,0.9469026548672567,0.9925788497217068,0.9692028985507246,0.9830944505696435,0.2608657249582744,0.630811025708985,0.9569830132410928,1070,60,10,8,run060,2010,True,0.2,100,7,2,300,13,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.3,0.9285714285714286,0.946236559139785,0.9795918367346939,0.9626253418413856,0.9727339719970524,0.17799445960413932,0.590286244367877,0.9499388424385969,1056,60,10,22,run061,2010,True,0.2,100,7,2,300,13,0.1,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.3,0.9085365853658537,0.9459211732355637,0.9573283858998145,0.9515905947441217,0.9550249861188229,0.12609707021893687,0.5715875960773921,0.9494308345113881,1032,59,11,46,run062,2010,True,0.2,100,7,2,300,7,0.2,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.3,0.9128919860627178,0.9445454545454546,0.963821892393321,0.9540863177226814,0.9599039172209904,0.11045414462008399,0.5906573018817917,0.9513329047515647,1039,61,9,39,run063,2010,True,0.2,100,7,2,300,7,0.2,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.3,0.931184668989547,0.9471799462846912,0.9814471243042672,0.9640091116173121,0.9743967581506723,0.20458924684957006,0.5962827988338193,0.9519825857791584,1058,59,11,20,run064,2010,True,0.2,100,7,2,300,10,0.2,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.3,0.9346689895470384,0.9465716829919858,0.9860853432282004,0.9659245797364834,0.9779208831646734,0.21139492522709266,0.570924993373973,0.9493302384833328,1063,60,10,15,run065,2010,True,0.2,100,7,2,300,10,0.2,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.3,0.931184668989547,0.9447907390917186,0.9842300556586271,0.9641072239890959,0.9760809567617296,0.16151180618069957,0.5870328650940896,0.9488705440187549,1061,62,8,17,run066,2010,True,0.2,100,7,2,300,13,0.2,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.3,0.9259581881533101,0.9452914798206278,0.9777365491651205,0.9612403100775194,0.9710705730606228,0.1522403779948422,0.5757487410548635,0.9500748121880689,1054,61,9,24,run067,2010,True,0.2,100,7,2,300,13,0.2,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
